,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
41,"CITIBANK, N.A.",AT&T Points Plus,,No,"""123""",V,28.49,24.49,20.49,No,999.0,999.0,999.0,,28.49,24.49,20.49,2.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Other rewards,"Citi ThankYou Rewards
AT&T wireless bill credit
Bonus offer of $100 statement credit after you spend $1000 on purchases int he first 3 months of account opening.",,,Website,https://citi.com/credit-cards/,,3/31/2023
42,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third 1% Cash/Back,FL; GA; IL; IN; KY; MI; NC; OH; SC; TN; WV,No,"""3""",V,999.0,999.0,9.74,Yes,999.0,999.0,0.0,21.0,999.0,999.0,0.0,21.0,Yes,Yes,30.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.53.com/content/fifth-third/en/personal-banking/bank/credit-cards/fifth-third-one-percent-cash-back.html,18009723030,4/10/2023
43,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third 1.67% Cash/Back & 2% Preferred Cash/Back,FL; GA; IL; IN; KY; MI; NC; OH; SC; TN; WV,No,"""3""",V,999.0,999.0,13.24,No,999.0,999.0,999.0,,999.0,999.0,0.0,12.0,Yes,Yes,30.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.53.com/content/fifth-third/en/personal-banking/bank/credit-cards.html,18009723030,4/10/2023
44,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third Employee Credit Card,FL; GA; IL; IN; KY; MI; NC; OH; SC; TN; WV,No,"""3""",V,999.0,999.0,1.99,No,999.0,999.0,999.0,,999.0,999.0,1.99,0.0,Yes,Yes,30.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards,,Chip card; Mobile wallet provisioning,,Phone; Website,https://fifththirdemployee.com/,18009723030,4/10/2023
45,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third Secured Credit Card,FL; GA; IL; IN; KY; MI; NC; OH; SC; TN; WV,Yes,"""2""",V,999.0,20.74,20.74,No,999.0,999.0,999.0,,999.0,20.74,20.74,0.0,Yes,Yes,30.0,Yes,$1.50 ,24.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,4.00%,,5,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Chip card; Mobile wallet provisioning,,Phone; Website,https://www.53.com/content/fifth-third/en/personal-banking/bank/credit-cards/secured-card.html,18009723030,4/10/2023
46,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third Truly Simple Credit Card,FL; GA; IL; IN; KY; MI; NC; OH; SC; TN; WV,No,"""3""",V,999.0,999.0,10.74,Yes,999.0,999.0,0.0,18.0,999.0,999.0,0.0,18.0,Yes,Yes,30.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone,,18009723030,4/10/2023
47,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third Private Bank Credit Card,FL; GA; IL; IN; KY; MI; NC; OH; SC; TN; WV,No,"""3""",V,999.0,999.0,5.99,No,999.0,999.0,999.0,,999.0,999.0,5.99,0.0,Yes,Yes,30.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.53.com/content/fifth-third/en/wealth-management/private-banking/credit-card.html,18664880017,4/10/2023
48,SERVICE FEDERAL CREDIT UNION,Visa Everyday Preferred Card,,No,"""23""",V,999.0,18.0,16.51,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$15.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,1.00%,,,,,,,No,,,,,,,,,,20.0,0.0,No,,,,,,,,Yes,No,returned payment fee,$20.00 ,if a payment is returned,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Extension on manufacturer’s warranty,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone; Website,https://servicecu.org,8009367730,4/10/2023
49,UNITED BANK,Visa Platinum,DC; GA; KY; MD; NC; OH; PA; SC; VA; WV,No,"""23""",V,999.0,9.75,10.5,Yes,999.0,5.99,5.99,6.0,999.0,9.75,10.5,6.0,No,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 1.5% of each cash advance, whichever is less.",,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$15.00 ,When a check is returned for insufficient funds.,Card Replacement Fee,$25.00 ,When a customer wants to rush order a card within 24 hours.,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone,,1-800-242-7600,4/10/2023
52,CORTRUST BANK NATIONAL ASSOCIATION,Subprime Product Offer,,No,"""1""",F,29.9,29.9,29.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,75.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$5.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,27.0,27.0,No,,,,,,,,Yes,Yes,Returned Payment,$27.00 ,"If a payment is returned for any reason, a Returned Payment Fee of up to $27 may be assessed.",Additional Card,$20.00 ,"If the primary cardholder requests an additional card for use by an authorized user, there is an annual Additional Card Fee.",Replacement Card,$20.00 ,"If a card is reported lost or stolen and the cardholder requests a replacement card, there is a Replacement Card Fee.",Rush Delivery,$18.00 ,"If the cardholder requests a card processed more quickly and shipped overnight delivery, there is a Rush Delivery Fee.",ACH Autopay Fee,$5.00 ,"If the cardholder requests an expedited ACH payment be processed by a service center representative, there is an ACH Autopay Fee.",,,,,,,,,Chip card; Mobile wallet provisioning,,Phone,,877-231-3231,4/11/2023
53,FIRST SECURITY BANK,First Security Bank VISA Cash Back Card,AR,No,"""123""",F,9.99,9.99,9.99,No,999.0,999.0,999.0,,9.99,9.99,9.99,24.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$5.00 ,3.00%,$5.00 ,"Either $5 or 3% of the amount of each cash advance, whichever is greater, with a max. charge of $40",,,,,No,,,,,,,,,,29.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$29.00 ,When a payment is not posted to the account on or after the 5th day after the payment due date,,,,,,,,,,,,,,,,,Automobile rental insurance; Credit card registration,,Cashback rewards,,Chip card; Fee-free foreign transactions; Mobile wallet provisioning; Other,"No annual fee, no foreign transaction fee, fixed APR for purchases, cash advances and balance transfers, no balance transfer fee",Phone; Website,https://www.fsbankcards.com,18776113118,4/11/2023
57,MIDFIRST BANK,Consumer Platinum (Non-Rewards) Card,,No,"""23""",V,999.0,15.99,12.99,Yes,999.0,0.0,0.0,12.0,999.0,15.99,12.99,999.0,No,Yes,27.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,24.5,24.5,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,Charged only when a payment is returned or dishonored,,,,,,,,,,,,,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.midfirst.com/creditcards,888-643-3477,4/12/2023
61,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",Zions Bank Agility Cash Visa Credit Card,ID; UT; WY,No,"""3""",V,999.0,999.0,15.25,Yes,999.0,999.0,0.0,6.0,999.0,999.0,15.25,12.0,Yes,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,No,,,,,,,,,,35.0,35.0,No,,,,,,,,Yes,No,Return Payment Fee,$30.00 ,"If any check or other payment is dishonored or must be returned because it cannot be processed, we charge a returned payment Fee.",,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty; Other,"Travel Accident Insurance
Cell Phone Protection",Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Website,https://www.zionsbank.com/content/dam/zfnb/zionsbank/documents/agreement_center/Consumer_Cardholder_Agreement.pdf,,4/12/2023
62,1ST FINANCIAL BANK USA,1st Financial Bank USA credit card,,No,"""23""",V,999.0,32.5,31.4,Yes,999.0,0.0,0.0,12.0,999.0,999.0,999.0,,,Yes,24.0,Yes,$0.50 ,25.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,"If a payment of any type made to the account is returned or otherwise not honored for any reason, we may charge a fee of up to $30 for the first returned payment and up to $41 for any additional returned payment that occurs during the next six billing cyc",Replacement Card Fee,$10.00 ,"If the card is lost or stolen and/or customer requests that a new card be issued, we may charge a fee of $10. If customer requests that a new or replacement card be issued on an expedited basis, we may charge a fee of $25.",Copy Fee,$3.00 ,"First three requests for a copy of a billing statement are at no charge.  For each copy of any subsequent statement or sales, refund, or cash advance slip requested from the Bank, we may charge a fee of $3.",,,,,,,,,,,Extension on manufacturer’s warranty; Other,Travel and emergency assistance services,,,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone; Website,https://www.1fbusa.com,8007331732,4/13/2023
63,BANNER BANK,Banner Bank TruRewards Mastercard,CA; ID; OR; WA,No,"""123""",F,13.99,11.99,9.99,No,999.0,999.0,999.0,,9.24,7.24,5.24,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.10%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Credit card registration,,Cashback rewards; Travel-related rewards; Other rewards,"Merchandise, gift cards, etc",Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.bannerbank.com,800-790-2755,4/13/2023
69,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9237,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,Is charged when a customer requests to add an authorized user to the account,Program Fee,$55.00 ,"If a consumer is approved for the credit card account, the Program Fee is required to be paid prior to the account being opened.",Credit Limit Increase,$25.00 ,When a customer requests to be reviewed for a credit limit increase and the increase is subsequently approved.   The fee is 25% of the amount of the credit limit increase.,Return Check Fee,$39.00 ,Is charged when a customer's payment is returned by the bank for non sufficient funds.,PREMIER Credit Protection (this is an optional payment protection product),$0.89 ,"If a customer requests to be enrolled in the PREMIER Credit Protection Plan, the cost is $0.89 per $100 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/13/2023
70,PROSPERITY BANK,Visa Classic and Visa Gold,OK; TX,No,"""23""",F,999.0,14.9,14.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Other,"Travel Accident,Travel and Emergency Assistance Service, Warranty Manager",Travel-related rewards; Other rewards,"Gift Cards, Merchandise",Chip card; Mobile wallet provisioning,,Phone,,1-800-531-1401,4/13/2023
72,UNIVERSITY OF WISCONSIN CREDIT UNION,Visa Credit Card,,No,"""123""",V,25.0,18.84,13.65,No,999.0,999.0,999.0,,25.0,16.49,0.0,6.0,Yes,Yes,27.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,Balance Transfers at the standard APR do not have a fee. Our 0% Balance Transfer Promotion charges a 3% Fee or $10.00 whichever is greater.,,,,,Yes,No,"1. If the fee is charged in dollars, what is the amount?",$2.00 ,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,"Fed-returned payments. The fee is $25 unless the MPD is less than $25, then the fee is the same amount as the MPD.",,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.uwcu.org,833-327-7372,4/13/2023
78,"CENTRAL TRUST BANK, THE",MasterCard Only Card,CO; FL; IL; IA; KS; MO; NC; OK; TN,No,"""23""",V,999.0,15.49,10.62,Yes,999.0,0.0,0.0,6.0,999.0,15.49,10.62,999.0,Yes,Yes,25.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,No,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,35.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$35.00 ,When payments are returned,Replacement card fee,$15.00 ,This is charged if the customer requests a replacement card fee for lost or stolen cards.,Statement reprint fee,$5.00 ,This is charged if the customer requests statement reprints. It is 5.00 per statement.,Rush Card Fee,$25.00 ,This is charged if the customer requests a card to be expedited.,Expedited Payment Request,$15.00 ,This is charged if a customer is requesting a expedited payment via a live agent.,,,,,Automobile rental insurance; Other,"Purchase protection/security; mastercard travel accident and baggage delay, mastercard id theft protection, mastercard global service, mastercard airport concierge,",Cashback rewards; Travel-related rewards; Other rewards,"Merchandise, gift card, etc.",Chip card; Mobile wallet provisioning,,Phone,,18004459272,4/14/2023
79,"CITIZENS BANK, NATIONAL ASSOCIATION",Clear Value,,No,"""23""",V,999.0,20.24,14.24,Yes,999.0,0.0,0.0,18.0,999.0,0.0,0.0,18.0,Yes,Yes,25.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$1.50 ,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.citizensbank.com,8006842222,4/14/2023
80,"CITIZENS BANK, NATIONAL ASSOCIATION",Premier Cash Back Plus,,No,"""23""",V,999.0,18.24,16.24,No,999.0,999.0,999.0,,999.0,0.0,0.0,15.0,Yes,Yes,25.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.citizensbank.com,8006842222,4/14/2023
81,FIRSTBANK,Visa Icon,AZ; CA; CO,No,"""123""",V,19.4,18.1,16.65,Yes,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,No,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$2.00 ,2.50%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$2.00 ,2.50%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.efirstbank.com/,1-800-964-3444,4/14/2023
82,FIRST PREMIER BANK,First PREMIER Bank Mastercard Gold_9114,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5.00% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a customer requests to add an authorized user to their account.,Program Fee,$55.00 ,"When a consumer is approved for the credit card, the Program Fee is paid prior to the account being opened.",Credit Limit Increase Fee,$25.00 ,"If a customer requests a credit limit increase, and is approved, the fee is 25% of the amount of the approved credit limit increase.",Return Item Charge,$39.00 ,Is charged when a customer's payment is returned for non-sufficient funds.,PREMIER Credit Protection (Optional Payment Protection Plan),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100.00 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
92,FIRST PREMIER BANK,First PREMIER Bank Mastercard Gold_9110,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,150.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5.00% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a customer requests to add an authorized user to their account.,Program Fee,$95.00 ,"When a consumer is approved for the credit card, the Program Fee is paid prior to the account being opened.",Credit Limit Increase Fee,$25.00 ,"If a customer requests a credit limit increase, and is approved, the fee is 25% of the amount of the approved credit limit increase.",Return Item Charge,$39.00 ,Is charged when a customer's payment is returned for non-sufficient funds.,PREMIER Credit Protection (Optional Payment Protection Plan),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100.00 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
